,Codes,Sozialversicherungspflichtig Beschäftigte (Wohnort) Bruttoarbeitsentgelt bis 2.000   2010,Sozialversicherungspflichtig Beschäftigte (Wohnort) Bruttoarbeitsentgelt über 2.000 bis 4.000   2010,Sozialversicherungspflichtig Beschäftigte (Wohnort) Bruttoarbeitsentgelt über 4.000 bis 5.000   2010,Sozialversicherungspflichtig Beschäftigte (Wohnort) Bruttoarbeitsentgelt über 5.000   2010,Sozialversicherungspflichtig Beschäftigte (Wohnort) Median Bruttoarbeitsentgelte  2010,Stadtteilnummer,Anteil Wahlberechtigte ohne Sperrvermerk,Anteil Wähler,Anteil darunter Wähler mit Wahlschein,Anteil ungültige Stimmen,Anteil CDU,Anteil SPD,Anteil GRÜNE,Anteil DIE LINKE,Anteil AfD,Anteil FDP,Anteil PIRATEN,Anteil NPD,Anteil FREIE WÄHLER,Anteil Die PARTEI,Anteil BüSo,Anteil MLPD,Anteil BGE,Anteil DKP,Anteil DM,Anteil ÖDP,Anteil Tierschutzpartei,Anteil V-Partei³,year,Erwerbsfähige Personen Insgesamt,Erwerbsfähige Personen Erwerbsfähigendichte in %,Erwerbsfähige Personen Frauen,Erwerbsfähige Personen Männer,Erwerbsfähige Personen Deutsche,Erwerbsfähige Personen Ausländerinnen und Ausländer,Sozialversicherungspflichtig Beschäftigte (Wohnort) Insgesamt,Sozialversicherungspflichtig Beschäftigte (Wohnort) Beschäftigtendichte in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Frauen,Sozialversicherungspflichtig Beschäftigte (Wohnort) Beschäftigtendichte Frauen in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Männer,Sozialversicherungspflichtig Beschäftigte (Wohnort) Beschäftigtendichte Männer in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Deutsche,Sozialversicherungspflichtig Beschäftigte (Wohnort) Beschäftigtendichte Deutsche in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Ausländerinnen und Ausländer,Sozialversicherungspflichtig Beschäftigte (Wohnort) Beschäftigtendichte Ausländerinnen und Ausländer in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) 15- bis unter 25-Jährige,Sozialversicherungspflichtig Beschäftigte (Wohnort) Beschäftigtendichte 15- bis unter 25-Jährige in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Nebenjobs,Sozialversicherungspflichtig Beschäftigte (Wohnort) Nebenjobdichte in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Midijobber/innen,Sozialversicherungspflichtig Beschäftigte (Wohnort) Midijobdichte in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Minijobber/innen,Sozialversicherungspflichtig Beschäftigte (Wohnort) Minijobdichte in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Minijobs Frauen,Sozialversicherungspflichtig Beschäftigte (Wohnort) Minijobs Männer,Sozialversicherungspflichtig Beschäftigte (Wohnort) Minijobs Deutsche,Sozialversicherungspflichtig Beschäftigte (Wohnort) Minijobs Ausländerinnen und Ausländer,Sozialversicherungspflichtig Beschäftigte (Wohnort) Minijobs 15- bis unter 25-Jährige,Arbeitslose Insgesamt,Arbeitslose Arbeitslosendichte in %,Arbeitslose SGB III,Arbeitslose Arbeitslosendichte SGB III in %,Arbeitslose SGB II,Arbeitslose Arbeitslosendichte SGB II in %,Arbeitslose Frauen,Arbeitslose Arbeitslosendichte Frauen in %,Arbeitslose Männer,Arbeitslose Arbeitslosendichte Männer in %,Arbeitslose unter 25-Jährige,Arbeitslose Arbeitslosendichte unter 25-Jährige in %,Arbeitslose Deutsche,Arbeitslose Arbeitslosendichte Deutsche in %,Arbeitslose Ausländerinnen und Ausländer,Arbeitslose Arbeitslosendichte Ausländerinnen und Ausländer in %,Arbeitslose 55- bis unter 65-Jährige,Arbeitslose Arbeitslosendichte 55- bis unter 65-Jährige in %,SGB III Leistungsempfänger/innen Insgesamt
0,1,253,424,151,237,3270,1,73.2,74.8,34.4,0.4,26.3,17.6,14.6,13.0,8.3,15.2,0.5,0.4,0.4,1.9,0.0,0.0,0.3,0.0,0.2,0.3,0.8,0.2,2011,2628,"74,2",1270,1358,1604,1024,1359,"51,7",597,47,762,"56,1",933,"58,2",426,"41,6",94,31,115,"4,4",72,"2,7",175,"6,7",91,84,92,83,26,145,"5,5",41,"1,6",104,4,82,"6,5",63,"4,6",5,"1,7",81,5,64,"6,3",29,"6,8",49
1,2,522,692,190,382,2932,2,71.6,67.6,40.0,0.8,26.0,15.3,15.0,13.7,7.8,16.9,0.7,0.3,0.2,2.0,0.0,0.1,0.1,0.0,0.4,0.2,0.7,0.4,2011,4840,"77,7",2102,2738,2546,2294,2475,"51,1",1004,"47,8",1471,"53,7",1538,"60,4",937,"40,8",239,"35,8",249,"5,1",199,"4,1",369,"7,6",185,184,214,153,79,403,"8,3",67,"1,4",336,"6,9",123,"5,9",280,"10,2",29,"4,3",212,"8,3",190,"8,3",57,"8,9",79
2,3,,,,,3251.0697674418607,10,73.0,74.1,34.6,1.2,21.4,15.6,18.4,16.5,7.1,16.8,0.4,0.1,0.2,1.9,0.0,0.1,0.2,0.0,0.1,0.3,0.6,0.2,2011,2315,87,896,1419,1123,1192,1032,"44,6",384,"42,9",648,"45,7",641,"57,1",391,"32,8",89,"27,4",113,"4,9",117,"5,1",153,"6,6",75,78,87,65,33,178,"7,7",21,"0,9",157,"6,8",36,4,142,10,17,"5,2",95,"8,5",81,"6,8",23,"9,1",26
3,3,,,,,3251.0697674418607,10,73.0,74.1,34.6,1.2,21.4,15.6,18.4,16.5,7.1,16.8,0.4,0.1,0.2,1.9,0.0,0.1,0.2,0.0,0.1,0.3,0.6,0.2,2011,4524,"76,1",1946,2578,2667,1857,2325,"51,4",957,"49,2",1368,"53,1",1595,"59,8",730,"39,3",176,"28,4",244,"5,4",146,"3,2",297,"6,6",143,154,166,128,76,293,"6,5",53,"1,2",240,"5,3",107,"5,5",186,"7,2",16,"2,6",149,"5,6",144,"7,8",45,"8,2",56
4,10,594,897,279,610,3190,10,73.0,74.1,34.6,1.2,21.4,15.6,18.4,16.5,7.1,16.8,0.4,0.1,0.2,1.9,0.0,0.1,0.2,0.0,0.1,0.3,0.6,0.2,2011,2315,87,896,1419,1123,1192,1032,"44,6",384,"42,9",648,"45,7",641,"57,1",391,"32,8",89,"27,4",113,"4,9",117,"5,1",153,"6,6",75,78,87,65,33,178,"7,7",21,"0,9",157,"6,8",36,4,142,10,17,"5,2",95,"8,5",81,"6,8",23,"9,1",26
5,10,594,897,279,610,3190,10,73.0,74.1,34.6,1.2,21.4,15.6,18.4,16.5,7.1,16.8,0.4,0.1,0.2,1.9,0.0,0.1,0.2,0.0,0.1,0.3,0.6,0.2,2011,4524,"76,1",1946,2578,2667,1857,2325,"51,4",957,"49,2",1368,"53,1",1595,"59,8",730,"39,3",176,"28,4",244,"5,4",146,"3,2",297,"6,6",143,154,166,128,76,293,"6,5",53,"1,2",240,"5,3",107,"5,5",186,"7,2",16,"2,6",149,"5,6",144,"7,8",45,"8,2",56
6,4,448,1250,729,2813,5247,4,62.8,84.8,42.0,0.4,31.6,11.9,13.6,6.7,6.2,27.9,0.1,0.0,0.1,0.6,0.0,0.0,0.2,0.0,0.1,0.2,0.4,0.2,2011,12102,"72,3",6008,6094,8907,3195,6470,"53,5",3078,"51,2",3392,"55,7",5227,"58,7",1243,"38,9",259,"20,8",295,"2,4",198,"1,6",542,"4,5",354,188,409,129,147,246,2,145,"1,2",101,"0,8",100,"1,7",146,"2,4",8,"0,6",170,"1,9",76,"2,4",42,"2,6",119
7,5,375,759,365,950,4236,5,69.3,78.6,37.3,0.6,28.7,15.9,16.2,9.4,5.2,22.2,0.4,0.1,0.1,0.7,0.0,0.0,0.1,0.1,0.2,0.1,0.4,0.2,2011,6398,71,3244,3154,4536,1862,3231,"50,5",1572,"48,5",1659,"52,6",2496,55,735,"39,5",219,"23,9",259,4,148,"2,3",387,6,237,150,269,117,131,220,"3,4",79,"1,2",141,"2,2",104,"3,2",116,"3,7",18,2,126,"2,8",94,5,38,"4,2",78
8,6,1068,3082,1395,3272,4172,6,67.3,85.0,37.0,0.5,25.3,15.6,20.1,12.8,5.1,17.7,0.5,0.1,0.2,1.2,0.0,0.0,0.3,0.1,0.1,0.2,0.6,0.2,2011,20573,"74,2",10436,10137,16045,4528,11315,55,5780,"55,4",5535,"54,6",9432,"58,8",1883,"41,6",557,"27,2",756,"3,7",367,"1,8",1061,"5,2",652,409,825,229,,565,"2,7",233,"1,1",332,"1,6",258,"2,5",307,3,23,"1,1",406,"2,5",159,"3,5",110,"3,6",216
9,7,1154,3247,1380,2662,3891,7,70.2,82.8,34.4,0.6,20.7,17.6,23.6,16.6,4.5,13.1,0.4,0.0,0.2,1.6,0.0,0.1,0.3,0.0,0.0,0.2,0.7,0.2,2011,19257,"76,7",9900,9357,14873,4384,10977,57,5687,"57,4",5290,"56,5",9017,"60,6",1960,"44,7",471,"26,8",753,"3,9",389,2,1082,"5,6",634,448,767,312,241,740,"3,8",230,"1,2",510,"2,6",331,"3,3",409,"4,4",39,"2,2",487,"3,3",252,"5,7",136,"4,8",233
